FirstName1 LastName1  full 125173.57
FirstName70 LastName70  full 84150.81
FirstName71 LastName71  assistant 65022.04
FirstName72 LastName72  full 75362.42
FirstName73 LastName73  associate 104419.62
FirstName74 LastName74  full 99903.75
FirstName75 LastName75  assistant 77700.72
FirstName76 LastName76  full 123251.91
FirstName77 LastName77  associate 94936.14
FirstName78 LastName78  full 107198.81
FirstName79 LastName79  assistant 61046.61
FirstName80 LastName80  associate 72493.89
FirstName81 LastName81  assistant 72472.67
FirstName82 LastName82  assistant 71719.78
FirstName83 LastName83  full 107046.66
FirstName84 LastName84  full 90278.56
FirstName85 LastName85  full 113085.52
FirstName86 LastName86  associate 95027.11
FirstName87 LastName87  associate 100957.61
FirstName88 LastName88  associate 92160.03
FirstName89 LastName89  full 101621.68
FirstName90 LastName90  associate 61875.18
FirstName91 LastName91  associate 101720.22
FirstName92 LastName92  associate 81015.56
FirstName93 LastName93  full 78199.72
FirstName94 LastName94  associate 85840.92
FirstName95 LastName95  assistant 68616.22
FirstName96 LastName96  full 102065.52
FirstName97 LastName97  full 89898.15
FirstName98 LastName98  associate 103342.07
FirstName99 LastName99  full 102335.85
FirstName100 LastName100  assistant 56347.97
FirstName101 LastName101  associate 103052.50
FirstName102 LastName102  associate 79174.96
FirstName103 LastName103  full 99337.31
FirstName104 LastName104  associate 72468.48
FirstName105 LastName105  assistant 63049.80
FirstName106 LastName106  full 105358.11
FirstName107 LastName107  assistant 73859.61
FirstName108 LastName108  assistant 74553.97
FirstName109 LastName109  associate 96388.42
FirstName110 LastName110  full 129185.04
FirstName111 LastName111  full 113587.07
FirstName112 LastName112  associate 95908.98
FirstName113 LastName113  associate 92265.24
FirstName114 LastName114  associate 72291.86
FirstName115 LastName115  assistant 78199.45
FirstName116 LastName116  full 123862.36
FirstName117 LastName117  assistant 75240.06
FirstName118 LastName118  associate 78408.70
FirstName119 LastName119  associate 60082.19
FirstName120 LastName120  associate 80767.52
FirstName121 LastName121  assistant 74985.40
FirstName122 LastName122  assistant 54373.38
FirstName123 LastName123  assistant 66646.69
FirstName124 LastName124  assistant 55419.72
FirstName125 LastName125  full 124952.83
FirstName126 LastName126  associate 85107.73
FirstName127 LastName127  assistant 70176.92
FirstName128 LastName128  full 107720.20
FirstName129 LastName129  associate 76589.19
FirstName130 LastName130  associate 85506.54
FirstName131 LastName131  full 99864.83
FirstName132 LastName132  assistant 53213.84
FirstName133 LastName133  associate 89927.14
FirstName134 LastName134  assistant 76303.78
FirstName135 LastName135  full 124848.05
FirstName136 LastName136  full 98740.26
FirstName137 LastName137  associate 97170.34
FirstName138 LastName138  full 127801.86
FirstName139 LastName139  associate 72716.01
FirstName140 LastName140  associate 94181.53
FirstName141 LastName141  assistant 78754.55
FirstName142 LastName142  associate 91679.26
FirstName143 LastName143  associate 109557.74
FirstName144 LastName144  assistant 75947.51
FirstName145 LastName145  associate 61117.68
FirstName146 LastName146  assistant 66991.30
FirstName147 LastName147  assistant 60958.76
FirstName148 LastName148  assistant 61736.31
FirstName149 LastName149  associate 74781.55
FirstName150 LastName150  full 115317.28
FirstName151 LastName151  associate 67145.02
FirstName152 LastName152  full 108139.09
FirstName153 LastName153  associate 74296.65
FirstName154 LastName154  full 87204.37
FirstName155 LastName155  assistant 73626.99
FirstName156 LastName156  associate 82385.96
FirstName157 LastName157  assistant 51112.08
FirstName158 LastName158  full 111117.64
FirstName159 LastName159  assistant 63033.10
FirstName160 LastName160  assistant 73549.79
FirstName161 LastName161  full 121515.83
FirstName162 LastName162  associate 99924.86
FirstName163 LastName163  associate 74404.43
FirstName164 LastName164  full 129420.68
FirstName165 LastName165  associate 62989.05
FirstName166 LastName166  associate 67223.59
FirstName167 LastName167  assistant 59670.89
FirstName168 LastName168  associate 100476.82
FirstName169 LastName169  associate 108107.72
FirstName170 LastName170  associate 89475.60
FirstName171 LastName171  assistant 62346.37
FirstName172 LastName172  assistant 69890.09
FirstName173 LastName173  assistant 79820.59
FirstName174 LastName174  full 100701.61
FirstName175 LastName175  associate 73585.08
FirstName176 LastName176  assistant 74442.17
FirstName177 LastName177  full 120177.11
FirstName178 LastName178  associate 86871.66
FirstName179 LastName179  assistant 75231.35
FirstName180 LastName180  assistant 53814.12
FirstName181 LastName181  associate 109953.70
FirstName182 LastName182  assistant 72038.22
FirstName183 LastName183  assistant 79341.70
FirstName184 LastName184  associate 76244.53
FirstName185 LastName185  assistant 57059.46
FirstName186 LastName186  associate 97327.62
FirstName187 LastName187  full 108369.13
FirstName188 LastName188  assistant 78954.89
FirstName189 LastName189  assistant 65362.08
FirstName190 LastName190  full 115543.31
FirstName191 LastName191  full 112803.50
FirstName192 LastName192  associate 87745.89
FirstName193 LastName193  full 106004.32
FirstName194 LastName194  associate 99042.53
FirstName195 LastName195  associate 92098.65
FirstName196 LastName196  full 102879.68
FirstName197 LastName197  associate 83449.34
FirstName198 LastName198  assistant 74753.32
FirstName199 LastName199  associate 65675.67
FirstName200 LastName200  associate 103753.42
FirstName201 LastName201  associate 77971.37
FirstName202 LastName202  associate 72352.36
FirstName203 LastName203  associate 69361.63
FirstName204 LastName204  assistant 51844.77
FirstName205 LastName205  associate 84932.04
FirstName206 LastName206  associate 76049.59
FirstName207 LastName207  assistant 63608.37
FirstName208 LastName208  associate 106801.92
FirstName209 LastName209  assistant 57081.31
FirstName210 LastName210  full 83955.25
FirstName211 LastName211  full 104782.48
FirstName212 LastName212  assistant 51792.34
FirstName213 LastName213  associate 89458.20
FirstName214 LastName214  full 128247.80
FirstName215 LastName215  full 75028.15
FirstName216 LastName216  associate 107707.71
FirstName217 LastName217  associate 82912.19
FirstName218 LastName218  associate 90506.20
FirstName219 LastName219  full 111379.16
FirstName220 LastName220  associate 90350.37
FirstName221 LastName221  assistant 71817.07
FirstName222 LastName222  assistant 77418.58
FirstName223 LastName223  assistant 75608.37
FirstName224 LastName224  full 111118.10
FirstName225 LastName225  full 116515.96
FirstName226 LastName226  assistant 55209.76
FirstName227 LastName227  full 80953.08
FirstName228 LastName228  full 127032.79
FirstName229 LastName229  associate 60492.75
FirstName230 LastName230  full 115069.86
FirstName231 LastName231  associate 71334.06
FirstName232 LastName232  full 96307.47
FirstName233 LastName233  assistant 75632.81
FirstName234 LastName234  full 111555.40
FirstName235 LastName235  full 121315.42
FirstName236 LastName236  assistant 59905.21
FirstName237 LastName237  assistant 71870.97
FirstName238 LastName238  associate 107929.26
FirstName239 LastName239  full 121969.78
FirstName240 LastName240  full 122969.59
FirstName241 LastName241  associate 72184.90
FirstName242 LastName242  full 109623.70
FirstName243 LastName243  associate 78211.94
FirstName244 LastName244  associate 100322.85
FirstName245 LastName245  assistant 77860.03
FirstName246 LastName246  assistant 71481.25
FirstName247 LastName247  associate 109674.02
FirstName248 LastName248  associate 67237.22
FirstName249 LastName249  full 110670.83
FirstName250 LastName250  associate 67200.20
FirstName251 LastName251  assistant 71205.11
FirstName252 LastName252  full 97499.18
FirstName253 LastName253  full 126401.77
FirstName254 LastName254  assistant 74069.59
FirstName255 LastName255  assistant 65839.41
FirstName256 LastName256  associate 66641.94
FirstName257 LastName257  assistant 72127.77
FirstName258 LastName258  assistant 61766.30
FirstName259 LastName259  full 117365.35
FirstName260 LastName260  assistant 57888.33
FirstName261 LastName261  full 94631.33
FirstName262 LastName262  full 122709.49
FirstName263 LastName263  associate 93199.35
FirstName264 LastName264  assistant 62124.89
FirstName265 LastName265  full 105163.18
FirstName266 LastName266  associate 86543.58
FirstName267 LastName267  assistant 65252.97
FirstName268 LastName268  full 80352.85
FirstName269 LastName269  associate 63266.92
FirstName270 LastName270  full 80745.62
FirstName271 LastName271  associate 96402.63
FirstName272 LastName272  full 106498.45
FirstName273 LastName273  assistant 54102.81
FirstName274 LastName274  associate 76943.88
FirstName275 LastName275  assistant 63837.41
FirstName276 LastName276  full 111837.55
FirstName277 LastName277  assistant 69099.62
FirstName278 LastName278  associate 108948.62
FirstName279 LastName279  full 105846.37
FirstName280 LastName280  full 122586.85
FirstName281 LastName281  full 127135.72
FirstName282 LastName282  assistant 54554.73
FirstName283 LastName283  assistant 54056.72
FirstName284 LastName284  associate 90002.97
FirstName285 LastName285  full 117644.19
FirstName286 LastName286  full 102151.34
FirstName287 LastName287  associate 60444.82
FirstName288 LastName288  assistant 60433.11
FirstName289 LastName289  full 97608.66
FirstName290 LastName290  associate 89089.15
FirstName291 LastName291  associate 96574.91
FirstName292 LastName292  full 81292.81
FirstName293 LastName293  associate 70337.31
FirstName294 LastName294  assistant 64651.03
FirstName295 LastName295  full 75770.78
FirstName296 LastName296  full 92189.07
FirstName297 LastName297  assistant 57687.46
FirstName298 LastName298  associate 86109.42
FirstName299 LastName299  full 114679.89
FirstName300 LastName300  associate 69992.81
FirstName301 LastName301  assistant 66281.02
FirstName302 LastName302  full 101118.18
FirstName303 LastName303  full 119015.18
FirstName304 LastName304  full 92855.20
FirstName305 LastName305  assistant 51616.25
FirstName306 LastName306  assistant 78139.28
FirstName307 LastName307  associate 98509.99
FirstName308 LastName308  assistant 70058.93
FirstName309 LastName309  associate 90996.84
FirstName310 LastName310  associate 85360.01
FirstName311 LastName311  assistant 69761.73
FirstName312 LastName312  full 98610.95
FirstName313 LastName313  associate 83851.64
FirstName314 LastName314  full 126737.20
FirstName315 LastName315  assistant 65226.24
FirstName316 LastName316  assistant 68984.97
FirstName317 LastName317  associate 100562.86
FirstName318 LastName318  associate 89339.91
FirstName319 LastName319  full 120636.73
FirstName320 LastName320  full 76040.77
FirstName321 LastName321  assistant 73589.48
FirstName322 LastName322  assistant 69469.79
FirstName323 LastName323  associate 92333.52
FirstName324 LastName324  assistant 76679.06
FirstName325 LastName325  assistant 74274.79
FirstName326 LastName326  associate 65153.19
FirstName327 LastName327  full 129074.01
FirstName328 LastName328  full 122336.65
FirstName329 LastName329  full 77054.62
FirstName330 LastName330  associate 76706.99
FirstName331 LastName331  associate 107526.52
FirstName332 LastName332  full 114294.91
FirstName333 LastName333  associate 79110.66
FirstName334 LastName334  associate 100449.58
FirstName335 LastName335  assistant 73871.52
FirstName336 LastName336  full 118106.01
FirstName337 LastName337  associate 85560.35
FirstName338 LastName338  assistant 60521.11
FirstName339 LastName339  full 105016.26
FirstName340 LastName340  assistant 67085.75
FirstName341 LastName341  full 108231.87
FirstName342 LastName342  full 120750.60
FirstName343 LastName343  associate 66325.37
FirstName344 LastName344  full 104001.32
FirstName345 LastName345  assistant 76009.03
FirstName346 LastName346  associate 77617.49
FirstName347 LastName347  assistant 52531.34
FirstName348 LastName348  associate 70783.77
FirstName349 LastName349  full 78063.93
FirstName350 LastName350  associate 70956.19
FirstName351 LastName351  full 90952.44
FirstName352 LastName352  full 88647.97
FirstName353 LastName353  full 103456.48
FirstName354 LastName354  assistant 58788.31
FirstName355 LastName355  assistant 57594.26
FirstName356 LastName356  full 115676.92
FirstName357 LastName357  full 102416.07
FirstName358 LastName358  assistant 65593.78
FirstName359 LastName359  full 125969.70
FirstName360 LastName360  full 85384.90
FirstName361 LastName361  assistant 71815.84
FirstName362 LastName362  full 114195.45
FirstName363 LastName363  associate 66519.20
FirstName364 LastName364  assistant 79665.95
FirstName365 LastName365  associate 86121.18
FirstName366 LastName366  associate 105013.26
FirstName367 LastName367  assistant 79135.95
FirstName368 LastName368  assistant 50170.44
FirstName369 LastName369  full 126350.60
FirstName370 LastName370  assistant 74277.97
FirstName371 LastName371  associate 104538.64
FirstName372 LastName372  assistant 77536.30
FirstName373 LastName373  associate 93266.94
FirstName374 LastName374  associate 74799.37
FirstName375 LastName375  full 87006.05
FirstName376 LastName376  associate 72864.68
FirstName377 LastName377  assistant 73708.33
FirstName378 LastName378  assistant 73840.91
FirstName379 LastName379  full 94659.39
FirstName380 LastName380  assistant 60308.95
FirstName381 LastName381  associate 85257.08
FirstName382 LastName382  full 80387.83
FirstName383 LastName383  assistant 79603.21
FirstName384 LastName384  assistant 66584.93
FirstName385 LastName385  assistant 62985.41
FirstName386 LastName386  assistant 51097.65
FirstName387 LastName387  associate 105105.36
FirstName388 LastName388  assistant 68355.90
FirstName389 LastName389  associate 71244.64
FirstName390 LastName390  full 123093.07
FirstName391 LastName391  associate 79013.54
FirstName392 LastName392  assistant 75821.57
FirstName393 LastName393  associate 83414.67
FirstName394 LastName394  assistant 64555.96
FirstName395 LastName395  full 85584.51
FirstName396 LastName396  full 112020.15
FirstName397 LastName397  full 83272.64
FirstName398 LastName398  associate 91383.21
FirstName399 LastName399  associate 92329.48
FirstName400 LastName400  assistant 64322.40
FirstName401 LastName401  full 85234.61
FirstName402 LastName402  associate 104257.27
FirstName403 LastName403  associate 74377.29
FirstName404 LastName404  assistant 52074.34
FirstName405 LastName405  associate 98028.09
FirstName406 LastName406  assistant 52585.26
FirstName407 LastName407  assistant 54018.95
FirstName408 LastName408  assistant 54691.75
FirstName409 LastName409  assistant 64771.76
FirstName410 LastName410  full 89997.24
FirstName411 LastName411  assistant 67419.85
FirstName412 LastName412  full 93127.47
FirstName413 LastName413  associate 93507.42
FirstName414 LastName414  assistant 65952.96
FirstName415 LastName415  full 94001.83
FirstName416 LastName416  full 124345.72
FirstName417 LastName417  associate 63338.59
FirstName418 LastName418  associate 72895.32
FirstName419 LastName419  full 79938.11
FirstName420 LastName420  associate 73919.85
FirstName421 LastName421  full 79707.32
FirstName422 LastName422  full 111400.03
FirstName423 LastName423  full 107498.98
FirstName424 LastName424  assistant 76839.32
FirstName425 LastName425  assistant 57252.39
FirstName426 LastName426  assistant 67765.07
FirstName427 LastName427  associate 89799.57
FirstName428 LastName428  assistant 72524.71
FirstName429 LastName429  assistant 56994.51
FirstName430 LastName430  assistant 79608.55
FirstName431 LastName431  associate 96806.28
FirstName432 LastName432  full 83154.28
FirstName433 LastName433  assistant 53141.28
FirstName434 LastName434  full 103631.79
FirstName435 LastName435  assistant 53873.50
FirstName436 LastName436  assistant 56608.52
FirstName437 LastName437  associate 72989.61
FirstName438 LastName438  assistant 57903.44
FirstName439 LastName439  assistant 66516.88
FirstName440 LastName440  assistant 56958.92
FirstName441 LastName441  assistant 59684.07
FirstName442 LastName442  assistant 62596.12
FirstName443 LastName443  associate 75072.45
FirstName444 LastName444  associate 101784.38
FirstName445 LastName445  assistant 53204.38
FirstName446 LastName446  associate 83066.18
FirstName447 LastName447  associate 67591.05
FirstName448 LastName448  assistant 71707.71
FirstName449 LastName449  associate 69510.10
FirstName450 LastName450  assistant 56634.34
FirstName451 LastName451  full 129385.04
FirstName452 LastName452  assistant 61055.33
FirstName453 LastName453  associate 102802.13
FirstName454 LastName454  assistant 73012.04
FirstName455 LastName455  associate 62417.58
FirstName456 LastName456  assistant 73845.32
FirstName457 LastName457  associate 79913.60
FirstName458 LastName458  assistant 53540.06
FirstName459 LastName459  associate 102971.97
FirstName460 LastName460  assistant 67112.60
FirstName461 LastName461  associate 62433.02
FirstName462 LastName462  assistant 53653.76
FirstName463 LastName463  full 90373.14
FirstName464 LastName464  full 100374.74
FirstName465 LastName465  associate 61408.44
FirstName466 LastName466  associate 62984.42
FirstName467 LastName467  assistant 57513.58
FirstName468 LastName468  assistant 63222.97
FirstName469 LastName469  assistant 64306.72
FirstName470 LastName470  assistant 73840.49
FirstName471 LastName471  full 83438.35
FirstName472 LastName472  associate 109646.02
FirstName473 LastName473  associate 73314.97
FirstName474 LastName474  associate 86473.64
FirstName475 LastName475  full 124064.06
FirstName476 LastName476  associate 105221.87
FirstName477 LastName477  full 127139.09
FirstName478 LastName478  full 102012.25
FirstName479 LastName479  associate 64124.16
FirstName480 LastName480  full 129101.24
FirstName481 LastName481  assistant 60267.77
FirstName482 LastName482  assistant 53243.05
FirstName483 LastName483  assistant 79380.42
FirstName484 LastName484  assistant 61991.25
FirstName485 LastName485  full 103666.91
FirstName486 LastName486  associate 84831.28
FirstName487 LastName487  full 75905.20
FirstName488 LastName488  associate 89134.76
FirstName489 LastName489  full 85424.46
FirstName490 LastName490  assistant 59676.84
FirstName491 LastName491  full 80037.68
FirstName492 LastName492  assistant 76291.76
FirstName493 LastName493  associate 95868.31
FirstName494 LastName494  assistant 60658.14
FirstName495 LastName495  assistant 79200.00
FirstName496 LastName496  assistant 61542.35
FirstName497 LastName497  full 93088.78
FirstName498 LastName498  full 90387.94
FirstName499 LastName499  full 100284.72
FirstName500 LastName500  associate 95197.57
FirstName501 LastName501  full 86043.96
FirstName502 LastName502  assistant 67513.78
FirstName503 LastName503  assistant 55027.81
FirstName504 LastName504  associate 84045.29
FirstName505 LastName505  full 101083.81
FirstName506 LastName506  assistant 67571.73
FirstName507 LastName507  full 79439.90
FirstName508 LastName508  full 129453.84
FirstName509 LastName509  assistant 63032.14
FirstName510 LastName510  associate 106027.02
FirstName511 LastName511  full 88014.76
FirstName512 LastName512  assistant 55089.91
FirstName513 LastName513  full 94878.84
FirstName514 LastName514  full 77715.85
FirstName515 LastName515  assistant 55409.87
FirstName516 LastName516  full 119496.12
FirstName517 LastName517  full 119381.15
FirstName518 LastName518  assistant 68292.50
FirstName519 LastName519  assistant 51926.70
FirstName520 LastName520  assistant 74840.72
FirstName521 LastName521  full 91467.51
FirstName522 LastName522  full 111973.43
FirstName523 LastName523  full 103763.06
FirstName524 LastName524  assistant 75214.82
FirstName525 LastName525  full 115327.16
FirstName526 LastName526  assistant 56625.54
FirstName527 LastName527  assistant 71063.11
FirstName528 LastName528  full 99347.24
FirstName529 LastName529  assistant 78328.75
FirstName530 LastName530  assistant 62676.72
FirstName531 LastName531  associate 63477.81
FirstName532 LastName532  associate 105917.25
FirstName533 LastName533  full 87482.20
FirstName534 LastName534  associate 85153.46
FirstName535 LastName535  associate 104445.86
FirstName536 LastName536  associate 75082.65
FirstName537 LastName537  assistant 73875.15
FirstName538 LastName538  full 91227.00
FirstName539 LastName539  full 101562.57
FirstName540 LastName540  assistant 79692.66
FirstName541 LastName541  associate 82304.74
FirstName542 LastName542  assistant 73250.65
FirstName543 LastName543  assistant 70013.25
FirstName544 LastName544  assistant 60371.62
FirstName545 LastName545  associate 105844.55
FirstName546 LastName546  assistant 54668.56
FirstName547 LastName547  full 128950.80
FirstName548 LastName548  full 129132.02
FirstName549 LastName549  full 114103.97
FirstName550 LastName550  assistant 60486.41
FirstName551 LastName551  full 107843.69
FirstName552 LastName552  full 112411.22
FirstName553 LastName553  full 95635.27
FirstName554 LastName554  associate 103566.91
FirstName555 LastName555  assistant 51106.10
FirstName556 LastName556  full 80117.81
FirstName557 LastName557  assistant 64852.34
FirstName558 LastName558  full 102160.12
FirstName559 LastName559  assistant 52091.99
FirstName560 LastName560  assistant 72407.50
FirstName561 LastName561  assistant 77240.15
FirstName562 LastName562  assistant 56761.17
FirstName563 LastName563  full 98557.29
FirstName564 LastName564  assistant 78764.35
FirstName565 LastName565  associate 104419.70
FirstName566 LastName566  assistant 62731.17
FirstName567 LastName567  assistant 56459.95
FirstName568 LastName568  associate 92807.26
FirstName569 LastName569  full 92008.58
FirstName570 LastName570  full 81455.21
FirstName571 LastName571  full 82301.40
FirstName572 LastName572  assistant 58243.27
FirstName573 LastName573  associate 61676.52
FirstName574 LastName574  assistant 75123.26
FirstName575 LastName575  full 125139.53
FirstName576 LastName576  assistant 55369.47
FirstName577 LastName577  full 77177.94
FirstName578 LastName578  assistant 66462.49
FirstName579 LastName579  full 106431.65
FirstName580 LastName580  assistant 58851.62
FirstName581 LastName581  assistant 51034.07
FirstName582 LastName582  assistant 64231.91
FirstName583 LastName583  assistant 61654.74
FirstName584 LastName584  associate 104981.14
FirstName585 LastName585  associate 87943.10
FirstName586 LastName586  assistant 76796.91
FirstName587 LastName587  associate 95042.40
FirstName588 LastName588  assistant 72628.52
FirstName589 LastName589  associate 101893.03
FirstName590 LastName590  assistant 56673.52
FirstName591 LastName591  assistant 77921.54
FirstName592 LastName592  full 76531.49
FirstName593 LastName593  assistant 76436.76
FirstName594 LastName594  associate 107627.59
FirstName595 LastName595  associate 82563.63
FirstName596 LastName596  assistant 70934.03
FirstName597 LastName597  full 107288.46
FirstName598 LastName598  associate 72517.08
FirstName599 LastName599  associate 68909.86
FirstName600 LastName600  assistant 61156.08
FirstName601 LastName601  full 121920.56
FirstName602 LastName602  full 91355.18
FirstName603 LastName603  full 75765.91
FirstName604 LastName604  assistant 71659.32
FirstName605 LastName605  assistant 78468.52
FirstName606 LastName606  assistant 70379.11
FirstName607 LastName607  associate 86207.10
FirstName608 LastName608  assistant 79130.33
FirstName609 LastName609  full 110956.62
FirstName610 LastName610  full 96626.43
FirstName611 LastName611  full 101126.53
FirstName612 LastName612  associate 66227.39
FirstName613 LastName613  assistant 77392.40
FirstName614 LastName614  associate 74453.47
FirstName615 LastName615  full 81074.59
FirstName616 LastName616  associate 104437.05
FirstName617 LastName617  full 76009.13
FirstName618 LastName618  full 75638.46
FirstName619 LastName619  assistant 58932.66
FirstName620 LastName620  associate 83265.32
FirstName621 LastName621  full 106011.29
FirstName622 LastName622  assistant 72779.16
FirstName623 LastName623  assistant 77636.43
FirstName624 LastName624  associate 93297.42
FirstName625 LastName625  assistant 70516.09
FirstName626 LastName626  assistant 62795.58
FirstName627 LastName627  assistant 54557.94
FirstName628 LastName628  full 77016.88
FirstName629 LastName629  full 92880.47
FirstName630 LastName630  assistant 78372.94
FirstName631 LastName631  full 101040.16
FirstName632 LastName632  full 126376.57
FirstName633 LastName633  assistant 66724.48
FirstName634 LastName634  full 124261.78
FirstName635 LastName635  full 107521.08
FirstName636 LastName636  assistant 72342.72
FirstName637 LastName637  associate 68871.29
FirstName638 LastName638  assistant 70760.31
FirstName639 LastName639  assistant 68180.60
FirstName640 LastName640  associate 94441.89
FirstName641 LastName641  assistant 53235.03
FirstName642 LastName642  full 126001.42
FirstName643 LastName643  full 79310.03
FirstName644 LastName644  full 124512.34
FirstName645 LastName645  full 94147.63
FirstName646 LastName646  full 112184.89
FirstName647 LastName647  associate 103276.55
FirstName648 LastName648  assistant 71703.76
FirstName649 LastName649  assistant 64364.19
FirstName650 LastName650  full 120754.49
FirstName651 LastName651  associate 102857.87
FirstName652 LastName652  full 98082.53
FirstName653 LastName653  associate 108695.83
FirstName654 LastName654  assistant 73771.99
FirstName655 LastName655  associate 109526.21
FirstName656 LastName656  assistant 71684.24
FirstName657 LastName657  associate 101293.51
FirstName658 LastName658  associate 62957.91
FirstName659 LastName659  assistant 55197.69
FirstName660 LastName660  assistant 78108.74
FirstName661 LastName661  associate 71801.76
FirstName662 LastName662  full 106274.11
FirstName663 LastName663  associate 109645.67
FirstName664 LastName664  assistant 65515.79
FirstName665 LastName665  full 95642.48
FirstName666 LastName666  full 120106.32
FirstName667 LastName667  associate 77095.18
FirstName668 LastName668  associate 76224.68
FirstName669 LastName669  full 100764.08
FirstName670 LastName670  full 81493.28
FirstName671 LastName671  associate 76862.48
FirstName672 LastName672  assistant 79894.76
FirstName673 LastName673  assistant 71180.77
FirstName674 LastName674  assistant 64828.79
FirstName675 LastName675  associate 68170.53
FirstName676 LastName676  associate 66264.14
FirstName677 LastName677  full 115600.06
FirstName678 LastName678  associate 66343.23
FirstName679 LastName679  full 114470.81
FirstName680 LastName680  assistant 55528.50
FirstName681 LastName681  full 116456.49
FirstName682 LastName682  assistant 59667.08
FirstName683 LastName683  associate 69322.63
FirstName684 LastName684  full 96695.63
FirstName685 LastName685  associate 79938.40
FirstName686 LastName686  assistant 61296.42
FirstName687 LastName687  assistant 77967.90
FirstName688 LastName688  assistant 79175.23
FirstName689 LastName689  assistant 51151.88
FirstName690 LastName690  associate 104152.37
FirstName691 LastName691  assistant 59567.25
FirstName692 LastName692  assistant 63542.07
FirstName693 LastName693  assistant 53481.65
FirstName694 LastName694  full 91588.35
FirstName695 LastName695  assistant 60663.68
FirstName696 LastName696  associate 60783.00
FirstName697 LastName697  associate 90681.92
FirstName698 LastName698  full 122138.33
FirstName699 LastName699  full 90750.44
FirstName700 LastName700  associate 62089.11
FirstName701 LastName701  associate 103340.92
FirstName702 LastName702  assistant 52472.15
FirstName703 LastName703  associate 85391.14
FirstName704 LastName704  assistant 58577.82
FirstName705 LastName705  assistant 57178.71
FirstName706 LastName706  associate 88689.49
FirstName707 LastName707  associate 81919.73
FirstName708 LastName708  full 97550.71
FirstName709 LastName709  full 97544.76
FirstName710 LastName710  associate 98653.75
FirstName711 LastName711  full 87293.17
FirstName712 LastName712  full 118323.80
FirstName713 LastName713  associate 73822.69
FirstName714 LastName714  assistant 75348.71
FirstName715 LastName715  associate 80112.64
FirstName716 LastName716  full 117984.60
FirstName717 LastName717  full 115163.68
FirstName718 LastName718  full 128053.21
FirstName719 LastName719  associate 105775.89
FirstName720 LastName720  assistant 77985.13
FirstName721 LastName721  assistant 74155.33
FirstName722 LastName722  assistant 67478.02
FirstName723 LastName723  full 79646.77
FirstName724 LastName724  assistant 72666.07
FirstName725 LastName725  assistant 78658.54
FirstName726 LastName726  full 101574.47
FirstName727 LastName727  full 99111.19
FirstName728 LastName728  associate 63783.22
FirstName729 LastName729  full 100560.24
FirstName730 LastName730  assistant 71077.42
FirstName731 LastName731  full 103603.51
FirstName732 LastName732  associate 65380.71
FirstName733 LastName733  assistant 57323.83
FirstName734 LastName734  full 109296.84
